Name,ParentFunc
BT_TASKS,BT_EXECUTE
BT_EXECUTE,FSM_UPDATE
EVENT_CHECK,ROOT
FSM_UPDATE,AI_HANDLER_UPDATE
EVENT_UPDATE,AI_HANDLER_UPDATE
AI_HANDLER_UPDATE,ROOT

Nr of AI,Name,TimeSpent[ms],TotalRunTime[ms],Iterations,frames
2086,BT_TASKS,3838.53,6000,620851,99
2086,BT_TASKS,3834.41,6000,623011,100
2086,BT_TASKS,3901.39,6000,624871,99
2086,BT_TASKS,3887.2,6000,622996,100
2110,BT_TASKS,3810.27,6000,621342,100
2086,BT_TASKS,3852.96,6000,622990,100
2110,BT_TASKS,3830.82,6000,623347,99
2110,BT_TASKS,3903.13,6000,627369,99
2086,BT_TASKS,3878.84,6000,620820,99
2086,BT_TASKS,3898.36,6000,623013,100
2086,BT_TASKS,3851.23,6000,620835,99
2086,BT_TASKS,3880.56,6000,614543,98
2086,BT_TASKS,3864.94,6000,620883,99
2086,BT_TASKS,3901.27,6000,616730,99
2086,BT_TASKS,3871.83,6000,622953,100
2086,BT_TASKS,3872.98,6000,618853,100
2086,BT_TASKS,3866.5,6000,623078,100
2086,BT_TASKS,3857.38,6000,623030,100
2086,BT_TASKS,3919,6000,631195,100
2086,BT_TASKS,3848.73,6000,625151,101
2086,BT_TASKS,3844.93,6000,623026,100
2086,BT_TASKS,3859.85,6000,622964,100
2086,BT_TASKS,3842.19,6000,620897,99
2110,BT_TASKS,3867.39,6000,625468,100
2110,BT_TASKS,3900.01,6000,623253,99
2110,BT_TASKS,3841.18,6000,623295,99
2110,BT_TASKS,3892.78,6000,623184,99
2110,BT_TASKS,3894.37,6000,618941,97
2110,BT_TASKS,3905.59,6000,623213,99
2086,BT_TASKS,3897.57,6000,620769,99
2086,BT_TASKS,3904.14,6000,628974,99
2086,BT_TASKS,3848.21,6000,622949,100
2110,BT_TASKS,3863.54,6000,625445,100
2086,BT_TASKS,3861.74,6000,625118,101
2086,BT_TASKS,3933.78,6000,633394,101
2086,BT_TASKS,3873.88,6000,622989,100
2110,BT_TASKS,3904.86,6000,623234,99
2086,BT_TASKS,3914.89,6000,633335,101
2110,BT_TASKS,3815.46,6000,619088,99
2086,BT_TASKS,3868.97,6000,622883,100
2086,BT_TASKS,3854.31,6000,620843,99
2086,BT_TASKS,3862.07,6000,623111,100
2086,BT_TASKS,3875.37,6000,622953,100
2086,BT_TASKS,3819.18,6000,623037,100
2086,BT_TASKS,3869.83,6000,623061,100
2110,BT_TASKS,3899.84,6000,623259,99
2086,BT_TASKS,3835.08,6000,622996,100
2110,BT_TASKS,3832.92,6000,612807,98
2086,BT_TASKS,3848.07,6000,616649,99
2086,BT_TASKS,3813.64,6000,612342,97
2086,BT_TASKS,3858.34,6000,625112,101
2086,BT_TASKS,3854.54,6000,623071,100
2110,BT_TASKS,3911.5,6000,629686,100
2086,BT_TASKS,3861.4,6000,616549,99
2110,BT_TASKS,3904.77,6000,618917,97
2110,BT_TASKS,3903.39,6000,623256,99
2110,BT_TASKS,3897.02,6000,621089,98
2086,BT_TASKS,3915.87,6000,633391,101
2086,BT_TASKS,3868.04,6000,625019,101
2086,BT_TASKS,3838.85,6000,625172,101
2086,BT_TASKS,3847.4,6000,623006,100
2110,BT_TASKS,3871.83,6000,629677,100
2086,BT_TASKS,3912.33,6000,622970,100
2110,BT_TASKS,3815.72,6000,612836,98
2086,BT_TASKS,3845.78,6000,622983,100
2086,BT_TASKS,3779.33,6000,602027,96

Nr of AI,Name,TimeSpent[ms],TotalRunTime[ms],Iterations,frames
10,BT_EXECUTE,75.3514,6000,7750,775
20,BT_EXECUTE,149.592,6000,15460,773
30,BT_EXECUTE,228.192,6000,23160,772
40,BT_EXECUTE,303.28,6000,30840,771
50,BT_EXECUTE,382.527,6000,38450,769
60,BT_EXECUTE,463.294,6000,46020,767
70,BT_EXECUTE,542.941,6000,53620,766
80,BT_EXECUTE,610.718,6000,61200,765
90,BT_EXECUTE,697.817,6000,68580,762
100,BT_EXECUTE,786.81,6000,76200,762
110,BT_EXECUTE,857.534,6000,83600,760
120,BT_EXECUTE,937.369,6000,90960,758
130,BT_EXECUTE,1016.38,6000,98280,756
140,BT_EXECUTE,1095.48,6000,105700,755
150,BT_EXECUTE,1221.62,6000,113400,756
160,BT_EXECUTE,1262.97,6000,120160,751
170,BT_EXECUTE,1347.47,6000,126140,742
180,BT_EXECUTE,1390.35,6000,132840,738
190,BT_EXECUTE,1453.76,6000,137560,724
200,BT_EXECUTE,1519.47,6000,141200,706
210,BT_EXECUTE,1557.63,6000,148470,707
220,BT_EXECUTE,1607.72,6000,153120,696
230,BT_EXECUTE,1653.5,6000,158010,687
240,BT_EXECUTE,1755.59,6000,162000,675
250,BT_EXECUTE,1760.72,6000,167750,671
260,BT_EXECUTE,1794.11,6000,171600,660
270,BT_EXECUTE,1869.33,6000,177120,656
280,BT_EXECUTE,1923.71,6000,182000,650
290,BT_EXECUTE,2037.63,6000,183860,634
300,BT_EXECUTE,2037.83,6000,189300,631
310,BT_EXECUTE,2069.91,6000,192200,620
320,BT_EXECUTE,2110.52,6000,194880,609
330,BT_EXECUTE,2234.65,6000,194700,590
340,BT_EXECUTE,2187.3,6000,200260,589
350,BT_EXECUTE,2224.39,6000,203000,580
360,BT_EXECUTE,2254.11,6000,205920,572
370,BT_EXECUTE,2339.2,6000,205350,555
380,BT_EXECUTE,2371.35,6000,204440,538
390,BT_EXECUTE,2358.15,6000,209820,538
400,BT_EXECUTE,2343.26,6000,204800,512
410,BT_EXECUTE,2359.61,6000,198030,483
420,BT_EXECUTE,2427.69,6000,206640,492
430,BT_EXECUTE,2463.59,6000,210700,490
440,BT_EXECUTE,2474.79,6000,208120,473
450,BT_EXECUTE,2483.19,6000,211500,470
460,BT_EXECUTE,2535.02,6000,217120,472
470,BT_EXECUTE,2568.56,6000,215730,459
480,BT_EXECUTE,2608.34,6000,216480,451
490,BT_EXECUTE,2620.58,6000,221480,452
500,BT_EXECUTE,2657.71,6000,223000,446
510,BT_EXECUTE,2677.2,6000,223890,439
520,BT_EXECUTE,2687.51,6000,227760,438
530,BT_EXECUTE,2714.19,6000,227370,429
540,BT_EXECUTE,2732.77,6000,224100,415
550,BT_EXECUTE,2745.85,6000,227700,414
560,BT_EXECUTE,2762.39,6000,228480,408
570,BT_EXECUTE,2786.62,6000,226290,397
580,BT_EXECUTE,2801.78,6000,230260,397
590,BT_EXECUTE,2822.46,6000,229510,389
600,BT_EXECUTE,2835.99,6000,229800,383
610,BT_EXECUTE,2842.46,6000,229970,377
620,BT_EXECUTE,2872.59,6000,230640,372
630,BT_EXECUTE,2894.54,6000,232470,369
640,BT_EXECUTE,2896.01,6000,231680,362
650,BT_EXECUTE,2924.04,6000,231400,356
660,BT_EXECUTE,2942.63,6000,232320,352
670,BT_EXECUTE,2953.24,6000,232490,347
680,BT_EXECUTE,2969.3,6000,234600,345
690,BT_EXECUTE,2994.48,6000,233910,339
700,BT_EXECUTE,2984.61,6000,233100,333
710,BT_EXECUTE,3020.96,6000,236430,333
720,BT_EXECUTE,3040.96,6000,235440,327
730,BT_EXECUTE,3043.41,6000,235790,323
740,BT_EXECUTE,3037.97,6000,233840,316
750,BT_EXECUTE,3061.68,6000,236250,315
760,BT_EXECUTE,3084.21,6000,235600,310
770,BT_EXECUTE,3082.76,6000,235620,306
780,BT_EXECUTE,3104,6000,237120,304
790,BT_EXECUTE,3088.13,6000,236210,299
800,BT_EXECUTE,3130.05,6000,238400,298
810,BT_EXECUTE,3112.14,6000,232470,287
820,BT_EXECUTE,3136.91,6000,237800,290
830,BT_EXECUTE,3141.21,6000,238210,287
840,BT_EXECUTE,3146.32,6000,236040,281
850,BT_EXECUTE,3160.05,6000,234600,276
860,BT_EXECUTE,3189.6,6000,238220,277
870,BT_EXECUTE,3203.68,6000,236640,272
880,BT_EXECUTE,3195.92,6000,236720,269
890,BT_EXECUTE,3213.23,6000,239410,269
900,BT_EXECUTE,3239.3,6000,237600,264
910,BT_EXECUTE,3183.1,6000,232050,255
920,BT_EXECUTE,3238.93,6000,231840,252
930,BT_EXECUTE,3213.99,6000,231570,249
940,BT_EXECUTE,3231.22,6000,235000,250
950,BT_EXECUTE,3252.58,6000,232750,245
960,BT_EXECUTE,3284.29,6000,235200,245
970,BT_EXECUTE,3276.13,6000,233770,241
980,BT_EXECUTE,3256.01,6000,230300,235
990,BT_EXECUTE,3303.46,6000,235620,238
1000,BT_EXECUTE,3301.93,6000,233000,233
1010,BT_EXECUTE,3310.43,6000,233310,231
1020,BT_EXECUTE,3261.86,6000,233580,229
1030,BT_EXECUTE,3293.06,6000,229690,223
1040,BT_EXECUTE,3312.56,6000,230880,222
1050,BT_EXECUTE,3278.64,6000,229950,219
1060,BT_EXECUTE,3307.65,6000,227900,215
1070,BT_EXECUTE,3344.56,6000,232190,217
1080,BT_EXECUTE,3278,6000,226800,210
1090,BT_EXECUTE,3297.67,6000,231080,212
1100,BT_EXECUTE,3355.19,6000,231000,210
1110,BT_EXECUTE,3369.39,6000,229770,207
1120,BT_EXECUTE,3361.98,6000,230720,206
1130,BT_EXECUTE,3362.99,6000,232780,206
1140,BT_EXECUTE,3394.95,6000,231420,203
1150,BT_EXECUTE,3393.65,6000,230000,200
1160,BT_EXECUTE,3409.7,6000,227360,196
1170,BT_EXECUTE,3435.48,6000,226980,194
1180,BT_EXECUTE,3419.15,6000,227740,193
1190,BT_EXECUTE,3420.38,6000,227290,191
1200,BT_EXECUTE,3407.42,6000,231600,193
1210,BT_EXECUTE,3422.41,6000,229900,190
1220,BT_EXECUTE,3432.51,6000,230580,189
1230,BT_EXECUTE,3442.79,6000,228780,186
1240,BT_EXECUTE,3429.26,6000,229400,185
1250,BT_EXECUTE,3429.89,6000,230000,184
1260,BT_EXECUTE,3450.54,6000,230580,183
1270,BT_EXECUTE,3459.17,6000,226060,178
1280,BT_EXECUTE,3439.88,6000,229120,179
1290,BT_EXECUTE,3461.13,6000,228330,177
1300,BT_EXECUTE,3364.86,6000,211900,163
1310,BT_EXECUTE,3428.93,6000,217460,166
1320,BT_EXECUTE,3435.1,6000,217800,165
1330,BT_EXECUTE,3460.17,6000,223440,168
1340,BT_EXECUTE,3472.68,6000,225120,168
1350,BT_EXECUTE,3436.25,6000,222750,165
1360,BT_EXECUTE,3512.82,6000,229840,169
1370,BT_EXECUTE,3478.34,6000,216460,158
1380,BT_EXECUTE,3503.16,6000,224940,163
1390,BT_EXECUTE,3519.74,6000,227960,164
1400,BT_EXECUTE,3515.11,6000,228200,163
1410,BT_EXECUTE,3501.43,6000,227010,161
1420,BT_EXECUTE,3516.45,6000,227200,160
1430,BT_EXECUTE,3533.64,6000,230230,161
1440,BT_EXECUTE,3511.15,6000,227520,158
1450,BT_EXECUTE,3528.91,6000,229100,158
1460,BT_EXECUTE,3546.42,6000,224840,154
1470,BT_EXECUTE,3545.87,6000,224910,153
1480,BT_EXECUTE,3544.88,6000,229400,155
1490,BT_EXECUTE,3555.81,6000,226480,152
1500,BT_EXECUTE,3578.47,6000,228000,152
1510,BT_EXECUTE,3566.67,6000,229520,152
1520,BT_EXECUTE,3543.83,6000,224960,148
1530,BT_EXECUTE,3572.72,6000,226440,148
1540,BT_EXECUTE,3606.99,6000,229460,149
1550,BT_EXECUTE,3594.64,6000,226300,146
1560,BT_EXECUTE,3595.55,6000,226200,145
